Facility Name,Legislative District Number,LicenseNumber,FacilityId,Parent Company,Website,Street,City,Zip,County,Capacity,Phone,Notes,Legislator_1,Legislator_2,Legislator_3,Legislator_4,Party_1,Party_2,Party_3,Party_4,Email_1,Email_2,Email_3,Email_4,Unnamed: 4_1,Unnamed: 4_2,Unnamed: 4_3,Unnamed: 4_4,Unnamed: 5_1,Unnamed: 5_2,Unnamed: 5_3,Unnamed: 5_4
"***Last Updated August 1, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A CARING COMMUNITY LLC,27.0,BH6807,001cs00000Wo4VOAAZ,,https://www.acaringcommunityllc.com/,3931 West Sweetwater Avenue,Phoenix,85029.0,Maricopa,5.0,6022998430,,Lisa Fink,Tony Rivero,Kevin Payne,,R,R,R,,Email: LFINK,Email: TRIVERO,Email: KPAYNE,,Room 345,Room 112,Room 302,,(602) 926-3516,(602) 926-3528,(602) 926-4854,
ADVANCED BEHAVIORAL HEALTH LLC,29.0,BH10468,001cs00000Wo4m9AAB,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001cs00000Wo4m9AAB&programType=Health%20Care%20Facilties,25786 North Desert Mesa Drive,Surprise,85387.0,Maricopa,10.0,(480)269-5771,,James Taylor,Steve Montenegro -- Speaker,Janae Shamp,,R,R,R,,Email: JTAYLOR,Email: SMONTENEGRO,Email: JSHAMP,,Room 344,Room 223,Room 212,,(602) 926-3564,(602) 926-3635,(602) 926-3499,
Align Origin,19.0,BHRF20018,001cs00000XFRBNAA5,,,3333 N In Balance Rd Building 1 & 2,Huachuca City,85616.0,,8.0,(520) 722-9631,Rebranded from In Balance Ranch,Lupe Diaz,Gail Griffin,David Gowan,,R,R,R,,Email: LDIAZ,Email: GGRIFFIN,Email: DGOWAN,,Room 302,Room 225,Room 300,,(602) 926-4852,(602) 926-5895,(602) 926-5154,
ALL ABOUT KIDS,13.0,BH3031,001cs00000Wo540AAB,,Not found,2510 East Yellowstone Place,Chandler,85249.0,Maricopa,5.0,4802289510,,Jeff Weninger,Julie Willoughby -- Majority Whip,J.D. Mesnard,,R,R,R,,Email: JWENINGER,Email: JWILLOUGHBY,Email: JMESNARD,,Room 316,Room 207,Room 309,,(602) 926-3392,(602) 926-4153,(602) 926-4481,
ANGEL SAFE HAVEN LLC,25.0,BH6115,001cs00000Wo5H5AAJ,,Not found,2571 North 149th Avenue,Goodyear,85395.0,Maricopa,5.0,6232106382,,Nick Kupper,Michael Carbone -- Majority Leader,"Timothy ""Tim"" Dunn",,R,R,R,,Email: NKUPPER,Email: MCARBONE,Email: TDUNN,,Room 318,Room 208,Room 310,,(602) 926-3512,(602) 926-4038,(602) 926-4139,
ANIMALS FACILITATING ADOLESCENTS AND CHILDREN,13.0,BH4395,001cs00000Wo5XmAAJ,,Not found,"39213 South Wild Hardt Way, Suite A",Marana,85658.0,Pima,5.0,5204009444,,Jeff Weninger,Julie Willoughby -- Majority Whip,J.D. Mesnard,,R,R,R,,Email: JWENINGER,Email: JWILLOUGHBY,Email: JMESNARD,,Room 316,Room 207,Room 309,,(602) 926-3392,(602) 926-4153,(602) 926-4481,
ARIZONA CHILDREN'S GROUP LLC,12.0,BH5927,001cs00000Wo5bxAAB,,https://www.azchildrensgroup.com/,142 West Ivanhoe Place,Chandler,85225.0,Maricopa,5.0,4809551454,,Stacey Travers -- Minority Whip,Patty Contreras,Denise “Mitzi” Epstein,,D,D,D,,Email: STRAVERS,Email: PCONTRERAS,Email: MEPSTEIN,,Room 322,Room 126,Room 315,,(602) 926-3917,(602) 926-4057,(602) 926-4870,
ARTEMIS ADOLESCENT HEALING CENTER,17.0,BH10722,001cs00000Wo6GAAAZ,,https://artemisaz.com/,16330 North Forecastle Avenue,Tucson,85739.0,Pima,10.0,5206148647,,Kevin Volk,Rachel Keshel,"Venden ""Vince"" Leach",,D,R,R,,Email: KVOLK,Email: RKESHEL,Email: VLEACH,,Room 119,Room 303,Room 303,,(602) 926-3498,(602) 926-3558,(602) 926-3694,
AVERY'S HOUSE,4.0,BH7285,001cs00000Wo6YRAAZ,,Not found,11057 North Pinto Drive,Fountain Hills,85268.0,Maricopa,10.0,4804362725,,Pamela Carter,Matt Gress,Carine Werner,,R,R,R,,Email: PCARTER,Email: MGRESS,Email: CWERNER,,Room 304,Room 205,Room 301,,(602) 926-3153,(602) 926-4105,(602) 926-3673,
AVERY'S HOUSE LLC,10.0,BH7513,001cs00000Wo6YSAAZ,,https://www.averyshouse.com/landing/residential/?gad_source=1&gad_campaignid=22785869200&gbraid=0AAAAApKjrupkcWjDO-epO0xbbfUQpkjTz&gclid=Cj0KCQjwnovFBhDnARIsAO4V7mAYVKz40aaJs4AAMCRhamlJxZASpx39XHTQhVt9BJotlQ81Y9fBKrAaAkHTEALw_wcB,2416 North 113th Street,Apache Junction,85120.0,Pinal,10.0,4806706761,,Justin Olson,Ralph Heap,David C. Farnsworth,,R,R,R,,Email: JOLSON,Email: RHEAP,Email: DFARNSWORTH,,Room 113,Room 309,Room 303,,(602) 926-3376,(602) 926-3381,(602) 926-3387,
BACK TO LIFE INC,24.0,BH2772,001cs00000Wo6bUAAR,,https://backtolifeinc2.com/,5915 West Roanoke Avenue,Phoenix,85035.0,Maricopa,8.0,6235189552,,Anna Abeytia,Lydia Hernandez,Analise Ortiz,,D,D,D,,Email: AABEYTIA,Email: LHERNANDEZ,Email: ANALISE.ORTIZ,,Room 121,Room 334,Room 308,,(602) 926-3501,(602) 926-3553,(602) 926-3633,
"BACK TO LIFE, INCORPORATED",22.0,BH5803,001cs00000Wo6bWAAR,,https://backtolifeinc2.com/,6420 West Cocopah Street,Phoenix,85043.0,Maricopa,6.0,6235189552,,Elda Luna-Nájera,Lupe Contreras,Eva Diaz,,D,D,D,,Email: ELUNA-NAJERA,Email: LCONTRERAS,Email: EVA.DIAZ,,Room 332,Room 331,Room 313,,(602) 926-3881,(602) 926-5284,(602) 926-3473,
BASAMI HOUSE LLC,3.0,BH8484,001cs00000Wo6s5AAB,,Not found,2018 West Morning Vista Lane,Phoenix,85085.0,Maricopa,10.0,6029039193,,Joseph Chaplik,Alexander Kolodin,John Kavanagh -- Majority Leader,,R,R,R,,Email: JCHAPLIK,Email: AKOLODIN,Email: JKAVANAGH,,Room 312,Room 323,Room 200,,(602) 926-3436,(602) 926-3560,(602) 926-5170,
"BASAMI HOUSE, LLC",28.0,BH5341,001cs00000Wo6s4AAB,,Not found,21851 North 34th Drive,Phoenix,85027.0,Maricopa,5.0,6029039193,,Beverly Pingerelli,David Livingston,Frank Carroll -- Majority Whip,,R,R,R,,Email: BPINGERELLI,Email: DLIVINGSTON,Email: FCARROLL,,Room 131,Room 222,Room 212,,(602) 926-3396,(602) 926-4178,(602) 926-3249,
BOJ RESIDENTIAL HOMES,14.0,BH7153,001cs00000Wo7FjAAJ,,Not found,3924 East Andre Avenue,Gilbert,85298.0,Maricopa,4.0,4802507412,,Khyl Powell,Laurin Hendrix,Warren Petersen -- President,,R,R,R,,Email: KPOWELL,Email: LHENDRIX,Email: WPETERSEN,,Room 342,Room 114,Room 205,,(602) 926-3415,(602) 926-4209,(602) 926-4136,
Camelback Kids,21.0,BH7444,001cs00000Wo7UCAAZ,,https://sclu.science/,7517 West Shumway Farm Road,Laveen,85339.0,Maricopa,5.0,4802159056,,Stephanie Stahl Hamilton,Consuelo Hernandez,Rosanna Gabaldón -- Minority Whip,,D,D,D,,Email: SSTAHLHAMILTON,Email: CHERNANDEZ,Email: RGABALDON,,Room 333,Room 117,Room 305,,(602) 926-3279,(602) 926-3523,(602) 926-3424,
CONNECTED HEARTS LLC - BHRF,10.0,BH10546,001cs00000Wo86wAAB,,Not found,10548 East Mercury Drive,Apache Junction,85120.0,Pinal,4.0,9526523289,,Justin Olson,Ralph Heap,David C. Farnsworth,,R,R,R,,Email: JOLSON,Email: RHEAP,Email: DFARNSWORTH,,Room 113,Room 309,Room 303,,(602) 926-3376,(602) 926-3381,(602) 926-3387,
COPA'S CARING HANDS,15.0,BH5423,001cs00000Wo87nAAB,,Not found,42251 West Bravo Drive,Maricopa,85138.0,Pinal,6.0,6027931380,,Michael Way,Neal Carter -- Speaker Pro Tempore,Jake Hoffman,,R,R,R,,Email: MWAY,Email: NCARTER,Email: JAKE.HOFFMAN,,Room 308,Room 204,Room 306,,(602) 926-3433,(602) 926-5761,(602) 926-3292,
DALIA HOMECARE LLC,11.0,BH6545,001cs00000Wo8OoAAJ,,Not found,426 West Beautiful Lane,Phoenix,85041.0,Maricopa,5.0,6127359836,,Junelle Cavero,Oscar De Los Santos -- Minority Leader,Catherine Miranda -- Assistant Minority Leader,,D,D,D,,Email: JCAVERO,Email: ODELOSSANTOS,Email: CMIRANDA,,Room 325,Room 320,Room 313,,(602) 926-3285,(602) 926-4098,(602) 926-3413,
DALIA HOMECARE MARIPOSA,25.0,BH10355,001cs00000Wo8OrAAJ,,Not found,11217 West Mariposa Drive,Phoenix,85037.0,Maricopa,4.0,6027572927,,Nick Kupper,Michael Carbone -- Majority Leader,"Timothy ""Tim"" Dunn",,R,R,R,,Email: NKUPPER,Email: MCARBONE,Email: TDUNN,,Room 318,Room 208,Room 310,,(602) 926-3512,(602) 926-4038,(602) 926-4139,
DALIA HOMECARE VALENCIA,21.0,BH10297,001cs00000Wo8OtAAJ,,Not found,4437 West Valencia Drive,Laveen,85339.0,Maricopa,5.0,6027572927,,Stephanie Stahl Hamilton,Consuelo Hernandez,Rosanna Gabaldón -- Minority Whip,,D,D,D,,Email: SSTAHLHAMILTON,Email: CHERNANDEZ,Email: RGABALDON,,Room 333,Room 117,Room 305,,(602) 926-3279,(602) 926-3523,(602) 926-3424,
"DENALI YOUTH HOMES OF ARIZONA, LLC",21.0,BH10333,001cs00000Wo8bUAAR,,Not found,5747 West Warner Street,Phoenix,85043.0,Maricopa,5.0,9073010333,,Stephanie Stahl Hamilton,Consuelo Hernandez,Rosanna Gabaldón -- Minority Whip,,D,D,D,,Email: SSTAHLHAMILTON,Email: CHERNANDEZ,Email: RGABALDON,,Room 333,Room 117,Room 305,,(602) 926-3279,(602) 926-3523,(602) 926-3424,
DEVEREUX ARIZONA - BROADWAY CAMPUS,18.0,BH6614,001cs00000Wo8dwAAB,Devereux,https://www.devereux.org/site/SPageServer/?pagename=az_broadway,7444 East Broadway Boulevard,Tucson,85710.0,Pima,24.0,623-633-3418,,Christopher Mathis,Nancy Gutierrez -- Assistant Minority Leader,Priya Sundareshan -- Minority Leader,,D,D,D,,Email: CMATHIS,Email: NGUTIERREZ,Email: PSUNDARESHAN,,Room 337,Room 330,Room 213,,(602) 926-3138,(602) 926-4134,(602) 926-3437,
DEVEREUX ARIZONA - CASA AMISTAD,17.0,BH4295,001cs00000Wo8dxAAB,Devereux,https://www.devereux.org/site/SPageServer/?pagename=az_casaamistad,1202 North Dodge Boulevard,Tucson,85716.0,Pima,8.0,480-889-0558,,Kevin Volk,Rachel Keshel,"Venden ""Vince"" Leach",,D,R,R,,Email: KVOLK,Email: RKESHEL,Email: VLEACH,,Room 119,Room 303,Room 303,,(602) 926-3498,(602) 926-3558,(602) 926-3694,
DEVEREUX ARIZONA - CASA ENSUENO,18.0,BH4400,001cs00000Wo8dyAAB,Devereux,https://www.devereux.org/site/SPageServer/?pagename=az_casaensueno,100 North Camino Seco,Tucson,85710.0,Pima,7.0,623-633-3418,,Christopher Mathis,Nancy Gutierrez -- Assistant Minority Leader,Priya Sundareshan -- Minority Leader,,D,D,D,,Email: CMATHIS,Email: NGUTIERREZ,Email: PSUNDARESHAN,,Room 337,Room 330,Room 213,,(602) 926-3138,(602) 926-4134,(602) 926-3437,
DEVEREUX ARIZONA - CASA SOL,17.0,BH5570,001cs00000Wo8dzAAB,Devereux,https://www.devereux.org/site/SPageServer/?pagename=az_casasol,2000 East Spring Street,Tucson,85719.0,Pima,6.0,623-633-3418,,Kevin Volk,Rachel Keshel,"Venden ""Vince"" Leach",,D,R,R,,Email: KVOLK,Email: RKESHEL,Email: VLEACH,,Room 119,Room 303,Room 303,,(602) 926-3498,(602) 926-3558,(602) 926-3694,
DEVEREUX ARIZONA - CASA VALOR,18.0,BH4704,001cs00000Wo8e0AAB,Devereux,https://www.devereux.org/site/SPageServer/?pagename=az_casavalor,961 North Camino Mira Monte,Tucson,85716.0,Pima,10.0,623-633-3418,,Christopher Mathis,Nancy Gutierrez -- Assistant Minority Leader,Priya Sundareshan -- Minority Leader,,D,D,D,,Email: CMATHIS,Email: NGUTIERREZ,Email: PSUNDARESHAN,,Room 337,Room 330,Room 213,,(602) 926-3138,(602) 926-4134,(602) 926-3437,
DIVINE HELP LLC,24.0,BH9356,001cs00000Wo8vFAAR,,Not found,7208 West Windsor Avenue,Phoenix,85035.0,Maricopa,5.0,6026010586,,Anna Abeytia,Lydia Hernandez,Analise Ortiz,,D,D,D,,Email: AABEYTIA,Email: LHERNANDEZ,Email: ANALISE.ORTIZ,,Room 121,Room 334,Room 308,,(602) 926-3501,(602) 926-3553,(602) 926-3633,
EAGLE'S NEST RESIDENTIAL - EUCLID,11.0,BH5899,001cs00000Wo8w9AAB,,Not found,1832 East Euclid Avenue,Phoenix,85042.0,Maricopa,5.0,6023059599,,Junelle Cavero,Oscar De Los Santos -- Minority Leader,Catherine Miranda -- Assistant Minority Leader,,D,D,D,,Email: JCAVERO,Email: ODELOSSANTOS,Email: CMIRANDA,,Room 325,Room 320,Room 313,,(602) 926-3285,(602) 926-4098,(602) 926-3413,
EAGLE'S NEST THUNDERBIRD BOYS & GIRLS,11.0,BH8249,001cs00000Wo8wAAAR,,Not found,540 East Thunderbird Trail,Phoenix,85042.0,Maricopa,5.0,6023059599,,Junelle Cavero,Oscar De Los Santos -- Minority Leader,Catherine Miranda -- Assistant Minority Leader,,D,D,D,,Email: JCAVERO,Email: ODELOSSANTOS,Email: CMIRANDA,,Room 325,Room 320,Room 313,,(602) 926-3285,(602) 926-4098,(602) 926-3413,
EAGLES NEST BOYS & GIRLS RESIDENTIAL AGENCY,11.0,BH4442,001cs00000Wo8wBAAR,,Not found,1802 East Dobbins Road,Phoenix,85042.0,Maricopa,10.0,6023059599,,Junelle Cavero,Oscar De Los Santos -- Minority Leader,Catherine Miranda -- Assistant Minority Leader,,D,D,D,,Email: JCAVERO,Email: ODELOSSANTOS,Email: CMIRANDA,,Room 325,Room 320,Room 313,,(602) 926-3285,(602) 926-4098,(602) 926-3413,
"EMOTICARE RIMROCK, LLC",1.0,BH10497,001cs00000Wo9AKAAZ,Emoticare (Previously Family Help & Wellness),https://www.sedonasky.org/,3095 East Coronado Trail,Rimrock,86335.0,Yavapai,53.0,9283712345,,Quang H Nguyen,Selina Bliss,Mark Finchem,,R,R,R,,Email: QNGUYEN,Email: SBLISS,Email: MFINCHEM,,Room 226,Room 306,Room 304,,(602) 926-3258,(602) 926-4018,(602) 926-3631,
"FLORENCE CRITTENTON SERVICES OF ARIZONA, INC",5.0,BH2133,001cs00000Wo9WaAAJ,Florence Crittenton,https://www.flocrit.org/,"715 West Mariposa Street, Building A",Phoenix,85013.0,Maricopa,40.0,6022747318,,Aaron Márquez,Sarah Liguori,Lela Alston -- Minority Caucus Chair,,D,D,D,,Email: AMARQUEZ,Email: SLIGUORI,Email: LALSTON,,Room 123,Room 115,Room 315,,(602) 926-3179,(602) 926-3264,(602) 926-5829,
FORWARD IN LIFE,26.0,BH6589,001cs00000Wo9X0AAJ,,https://forwardinlifeaz.com/,8402 North 33rd Drive,Phoenix,85051.0,Maricopa,5.0,4804044159,,Quantá Crews -- Minority Whip,Cesar Aguilar,Flavio Bravo,,D,D,D,,Email: QCREWS,Email: CAGUILAR,Email: FBRAVO,,Room 321,Room 122,Room 213,,(602) 926-3256,(602) 926-3953,(602) 926-4033,
FORWARD IN LIFE II,25.0,BH10658,001cs00000Wo9X1AAJ,,https://forwardinlifeaz.com/,4249 North 103rd Avenue,Phoenix,85037.0,Maricopa,8.0,4804044159,,Nick Kupper,Michael Carbone -- Majority Leader,"Timothy ""Tim"" Dunn",,R,R,R,,Email: NKUPPER,Email: MCARBONE,Email: TDUNN,,Room 318,Room 208,Room 310,,(602) 926-3512,(602) 926-4038,(602) 926-4139,
GENERATIONS GROUP HOME,19.0,BH6723,001cs00000Wo9pkAAB,,Not found,1763 Paseo San Luis Suite B,Sierra Vista,85635.0,Cochise,16.0,5204598433,,Lupe Diaz,Gail Griffin,David Gowan,,R,R,R,,Email: LDIAZ,Email: GGRIFFIN,Email: DGOWAN,,Room 302,Room 225,Room 300,,(602) 926-4852,(602) 926-5895,(602) 926-5154,
Gentle Path at The Meadows,30.0,IFBH6209,0018y000008f9YbAAI,,https://themeadowsseasons.com/,2075 North Vulture Mine Road,Wickenburg,85390.0,,56.0,(800) 708-1743,,Leo Biasiucci,John Gillette,Hildy Angius,,R,R,R,,Email: LBIASIUCCI,Email: JGILLETTE,Email: HANGIUS,,Room 110,Room 130,Room 302,,(602) 926-3018,(602) 926-4100,(602) 926-5051,
GLORIOUS CARE PROJECT LLC,16.0,BH8106,001cs00000Wo9qpAAB,,Not found,1087 West Avalon Canyon Drive,Casa Grande,85122.0,Pinal,6.0,2406606597,,Teresa Martinez,Chris Lopez,"Thomas ""T.J."" Shope -- President Pro Tempore",,R,R,R,,Email: TMARTINEZ,Email: CLOPEZ,Email: TSHOPE,,Room 129,Room 310,Room 212,,(602) 926-3158,(602) 926-3445,(602) 926-3012,
GOLDEN HEART CARE,26.0,BH6195,001cs00000Wo9rKAAR,,Not found,7250 North 23rd Avenue,Phoenix,85021.0,Maricopa,5.0,6232481162,,Quantá Crews -- Minority Whip,Cesar Aguilar,Flavio Bravo,,D,D,D,,Email: QCREWS,Email: CAGUILAR,Email: FBRAVO,,Room 321,Room 122,Room 213,,(602) 926-3256,(602) 926-3953,(602) 926-4033,
