Facility Name,Legislative District Number,LicenseNumber,FacilityId,Parent Company,Website,Street,City,Zip,County,Capacity,Phone,Notes,Legislator_1,Legislator_2,Legislator_3,Legislator_4,Party_1,Party_2,Party_3,Party_4,Email_1,Email_2,Email_3,Email_4,Unnamed: 4_1,Unnamed: 4_2,Unnamed: 4_3,Unnamed: 4_4,Unnamed: 5_1,Unnamed: 5_2,Unnamed: 5_3,Unnamed: 5_4
"NEW HOPE OF ARIZONA, INCORPORATED",25.0,BH4385,001cs00000WoCXoAAN,New Hope of Arizona Inc,https://www.newhopeaz.org/,10766 West Cambridge Avenue,Avondale,85392.0,Maricopa,3.0,6025355686,,Nick Kupper,Michael Carbone -- Majority Leader,"Timothy ""Tim"" Dunn",,R,R,R,,Email: NKUPPER,Email: MCARBONE,Email: TDUNN,,Room 318,Room 208,Room 310,,(602) 926-3512,(602) 926-4038,(602) 926-4139,
Nexus Teen Academy LLC,4.0,BH9428,001cs00000WoDChAAN,,https://nexusteenacademy.com,2695 East Saddle Mountain Road,Cave Creek,85331.0,Maricopa,10.0,6232564184,,Pamela Carter,Matt Gress,Carine Werner,,R,R,R,,Email: PCARTER,Email: MGRESS,Email: CWERNER,,Room 304,Room 205,Room 301,,(602) 926-3153,(602) 926-4105,(602) 926-3673,
OPEN HEARTS,14.0,BH10413,001cs00000WoDSsAAN,,Not found,21853 South 214th Street,Queen Creek,85142.0,Maricopa,8.0,6022855550,,Khyl Powell,Laurin Hendrix,Warren Petersen -- President,,R,R,R,,Email: KPOWELL,Email: LHENDRIX,Email: WPETERSEN,,Room 342,Room 114,Room 205,,(602) 926-3415,(602) 926-4209,(602) 926-4136,
OUR HOUSE RESIDENTIALS,27.0,BH5607,001cs00000WoDTqAAN,,Not found,8910 West Monroe Street,Peoria,85345.0,Maricopa,10.0,6232484347,,Lisa Fink,Tony Rivero,Kevin Payne,,R,R,R,,Email: LFINK,Email: TRIVERO,Email: KPAYNE,,Room 345,Room 112,Room 302,,(602) 926-3516,(602) 926-3528,(602) 926-4854,
PILLAR WELLNESS SOLUTIONS,2.0,BH10068,001cs00000WoDzkAAF,,Not found,17629 North 36th Street,Phoenix,85032.0,Maricopa,10.0,6232552542,,Stephanie Simacek,Justin Wilmeth,Shawnna Bolick,,D,R,R,,Email: SSIMACEK,Email: JWILMETH,Email: SBOLICK,,Room 120,Room 111,Room 307,,(602) 926-3083,(602) 926-5044,(602) 926-3314,
PILLAR WELLNESS SOLUTIONS VIII LLC,9.0,BH10067,001cs00000WoDzyAAF,,Not found,1051 North Grand,Mesa,85201.0,Maricopa,10.0,4809259065,,Lorena Austin,Seth Blattman,Eva Burch,Kiana Sears,D,D,D,D,Email: LAUSTIN,Email: SBLATTMAN,Resigned 03/14/25,Email: KSEARS,Room 124,Room 125,,Room 314,(602) 926-3968,(602) 926-3996,,(602) 926-3374
PROGRESSIVE HEALTH ALLIANCE,21.0,BH7118,001cs00000WoEDuAAN,,Not found,4605 West Donner Drive,Laveen,85339.0,Maricopa,10.0,4804276723,,Stephanie Stahl Hamilton,Consuelo Hernandez,Rosanna Gabaldón -- Minority Whip,,D,D,D,,Email: SSTAHLHAMILTON,Email: CHERNANDEZ,Email: RGABALDON,,Room 333,Room 117,Room 305,,(602) 926-3279,(602) 926-3523,(602) 926-3424,
"PTL BEHAVIORAL HEALTH, LLC",14.0,BH8503,001cs00000WoEEaAAN,,Not found,10839 East Sonrisa Avenue,Mesa,85212.0,Maricopa,9.0,4804856075,,Khyl Powell,Laurin Hendrix,Warren Petersen -- President,,R,R,R,,Email: KPOWELL,Email: LHENDRIX,Email: WPETERSEN,,Room 342,Room 114,Room 205,,(602) 926-3415,(602) 926-4209,(602) 926-4136,
R M B H S COGDELL HOUSE,10.0,BH3633,001cs00000WoEFLAA3,Red Mountain Behavioral Health,https://hsapps.azdhs.gov/ls/sod/Provider.aspx?ProviderName=Red+mountain+Behavioral,6661 East Hermosa Vista Drive,Mesa,85215.0,Maricopa,8.0,4806419552,,Justin Olson,Ralph Heap,David C. Farnsworth,,R,R,R,,Email: JOLSON,Email: RHEAP,Email: DFARNSWORTH,,Room 113,Room 309,Room 303,,(602) 926-3376,(602) 926-3381,(602) 926-3387,
R M B H S LAKEVIEW HOUSE,10.0,BH3637,001cs00000WoEFMAA3,Red Mountain Behavioral Health,https://hsapps.azdhs.gov/ls/sod/Provider.aspx?ProviderName=Red+mountain+Behavioral,7005 East Lakeview Avenue,Mesa,85209.0,Maricopa,7.0,4806419552,,Justin Olson,Ralph Heap,David C. Farnsworth,,R,R,R,,Email: JOLSON,Email: RHEAP,Email: DFARNSWORTH,,Room 113,Room 309,Room 303,,(602) 926-3376,(602) 926-3381,(602) 926-3387,
R M B H S PLATA HOUSE,14.0,BH3640,001cs00000WoEFOAA3,Red Mountain Behavioral Health,https://hsapps.azdhs.gov/ls/sod/Provider.aspx?ProviderName=Red+mountain+Behavioral,7956 East Plata Avenue,Mesa,85212.0,Maricopa,10.0,4806419552,,Khyl Powell,Laurin Hendrix,Warren Petersen -- President,,R,R,R,,Email: KPOWELL,Email: LHENDRIX,Email: WPETERSEN,,Room 342,Room 114,Room 205,,(602) 926-3415,(602) 926-4209,(602) 926-4136,
R M B H S RENATA HOUSE,14.0,BH3631,001cs00000WoEFPAA3,Red Mountain Behavioral Health,https://hsapps.azdhs.gov/ls/sod/Provider.aspx?ProviderName=Red+mountain+Behavioral,11329 East Renata Avenue,Mesa,85212.0,Maricopa,10.0,4806419552,,Khyl Powell,Laurin Hendrix,Warren Petersen -- President,,R,R,R,,Email: KPOWELL,Email: LHENDRIX,Email: WPETERSEN,,Room 342,Room 114,Room 205,,(602) 926-3415,(602) 926-4209,(602) 926-4136,
R M B H S SOMERSET HOUSE,10.0,BH3632,001cs00000WoEFQAA3,Red Mountain Behavioral Health,https://hsapps.azdhs.gov/ls/sod/Provider.aspx?ProviderName=Red+mountain+Behavioral,1533 South Somerset Circle,Mesa,85206.0,Maricopa,8.0,4806419552,,Justin Olson,Ralph Heap,David C. Farnsworth,,R,R,R,,Email: JOLSON,Email: RHEAP,Email: DFARNSWORTH,,Room 113,Room 309,Room 303,,(602) 926-3376,(602) 926-3381,(602) 926-3387,
R M B H S VINCENT HOUSE,10.0,BH3792,001cs00000WoEFRAA3,Red Mountain Behavioral Health,https://hsapps.azdhs.gov/ls/sod/Provider.aspx?ProviderName=Red+mountain+Behavioral,1320 North Vincent Circle,Mesa,85207.0,Maricopa,10.0,4806419552,,Justin Olson,Ralph Heap,David C. Farnsworth,,R,R,R,,Email: JOLSON,Email: RHEAP,Email: DFARNSWORTH,,Room 113,Room 309,Room 303,,(602) 926-3376,(602) 926-3381,(602) 926-3387,
RE-CREATION RETREAT,6.0,BH3895,001cs00000WoEFqAAN,,https://web.archive.org/web/20160407183139/http://www.re-creationretreat.com:80/,465 South Main,Fredonia,86022.0,Coconino,40.0,9286436000,,Myron Tsosie,Mae Peshlakai,Theresa Hatathlie,,D,D,D,,Email: MTSOSIE,Email: MPESHLAKAI,Email: THATATHLIE,,Room 339,Room 116,Room 311,,(602) 926-3157,(602) 926-3708,(602) 926-5160,
RED HAWK BEHAVIORAL HEALTH LLC,30.0,BH5273,001cs00000WoESjAAN,,https://www.redhawkrtc.com/,3767 South Scenic Boulevard,Littlefield,86432.0,Mohave,24.0,4352365424,,Leo Biasiucci,John Gillette,Hildy Angius,,R,R,R,,Email: LBIASIUCCI,Email: JGILLETTE,Email: HANGIUS,,Room 110,Room 130,Room 302,,(602) 926-3018,(602) 926-4100,(602) 926-5051,
RMBHS POSADA HOUSE,14.0,BH5175,001cs00000WoEiXAAV,Red Mountain Behavioral Health,https://hsapps.azdhs.gov/ls/sod/Provider.aspx?ProviderName=Red+mountain+Behavioral,10634 East Posada Avenue,Mesa,85212.0,Maricopa,9.0,4806419552,,Khyl Powell,Laurin Hendrix,Warren Petersen -- President,,R,R,R,,Email: KPOWELL,Email: LHENDRIX,Email: WPETERSEN,,Room 342,Room 114,Room 205,,(602) 926-3415,(602) 926-4209,(602) 926-4136,
SAHARAN OASIS,22.0,BH7034,001cs00000WoEyOAAV,,Not found,1705 South 64th Avenue,Phoenix,85043.0,Maricopa,5.0,6025743610,,Elda Luna-Nájera,Lupe Contreras,Eva Diaz,,D,D,D,,Email: ELUNA-NAJERA,Email: LCONTRERAS,Email: EVA.DIAZ,,Room 332,Room 331,Room 313,,(602) 926-3881,(602) 926-5284,(602) 926-3473,
SAN TAN BEHAVIORAL HEALTH SERVICES LLC,10.0,BH5514,001cs00000WoEyqAAF,,https://santanbh.com/,3970 East Juanita Avenue,Gilbert,85234.0,Maricopa,8.0,4805073644,,Justin Olson,Ralph Heap,David C. Farnsworth,,R,R,R,,Email: JOLSON,Email: RHEAP,Email: DFARNSWORTH,,Room 113,Room 309,Room 303,,(602) 926-3376,(602) 926-3381,(602) 926-3387,
SRC DESERT COVE,5.0,BH8548,001cs00000WoFaiAAF,,Not found,1340 East Desert Cove,Phoenix,85020.0,Maricopa,10.0,6026123816,,Aaron Márquez,Sarah Liguori,Lela Alston -- Minority Caucus Chair,,D,D,D,,Email: AMARQUEZ,Email: SLIGUORI,Email: LALSTON,,Room 123,Room 115,Room 315,,(602) 926-3179,(602) 926-3264,(602) 926-5829,
STEP TWO RECOVERY CENTER,14.0,BH2607,001cs00000WoFldAAF,,https://www.steptworecovery.com/,3771 East Brooks Farm Road,Gilbert,85298.0,Maricopa,8.0,4809883376,,Khyl Powell,Laurin Hendrix,Warren Petersen -- President,,R,R,R,,Email: KPOWELL,Email: LHENDRIX,Email: WPETERSEN,,Room 342,Room 114,Room 205,,(602) 926-3415,(602) 926-4209,(602) 926-4136,
STREETLIGHTUSA,24.0,BH5096,001cs00000WoFmHAAV,,https://www.streetlightusa.org/,"6805 North 81st Ave, Units 150, 160, & Bldg A",Glendale,85303.0,Maricopa,8.0,6234350900,,Anna Abeytia,Lydia Hernandez,Analise Ortiz,,D,D,D,,Email: AABEYTIA,Email: LHERNANDEZ,Email: ANALISE.ORTIZ,,Room 121,Room 334,Room 308,,(602) 926-3501,(602) 926-3553,(602) 926-3633,
SUNFLOWER LIVING LLC,25.0,BH7288,001cs00000WoFnjAAF,,Not found,8506 West Highland Avenue,Phoenix,85037.0,Maricopa,5.0,419-902-6878,,Nick Kupper,Michael Carbone -- Majority Leader,"Timothy ""Tim"" Dunn",,R,R,R,,Email: NKUPPER,Email: MCARBONE,Email: TDUNN,,Room 318,Room 208,Room 310,,(602) 926-3512,(602) 926-4038,(602) 926-4139,
SUNNY SIDE GROUP HOME,16.0,BH9801,001cs00000WoFnyAAF,,Not found,252 West Caribbean Drive,Casa Grande,85122.0,Pinal,7.0,2028805147,,Teresa Martinez,Chris Lopez,"Thomas ""T.J."" Shope -- President Pro Tempore",,R,R,R,,Email: TMARTINEZ,Email: CLOPEZ,Email: TSHOPE,,Room 129,Room 310,Room 212,,(602) 926-3158,(602) 926-3445,(602) 926-3012,
THE U - TURN FOUNDATION,10.0,BH2457,001cs00000WoGW9AAN,,Not found,4005 East Edgewood Avenue,Mesa,85206.0,Maricopa,10.0,4806341163,,Justin Olson,Ralph Heap,David C. Farnsworth,,R,R,R,,Email: JOLSON,Email: RHEAP,Email: DFARNSWORTH,,Room 113,Room 309,Room 303,,(602) 926-3376,(602) 926-3381,(602) 926-3387,
THE U-TURN FOUNDATION / KEEP RIGHT,9.0,BH3468,001cs00000WoGWAAA3,,Not found,1820 South Los Alamos,Mesa,85204.0,Maricopa,10.0,4806341163,,Lorena Austin,Seth Blattman,Eva Burch,Kiana Sears,D,D,D,D,Email: LAUSTIN,Email: SBLATTMAN,Resigned 03/14/25,Email: KSEARS,Room 124,Room 125,,Room 314,(602) 926-3968,(602) 926-3996,,(602) 926-3374
THY GRACE CARE 2,15.0,BH9989,001cs00000WoGexAAF,,Not found,37728 West San Capistrano Avenue,Maricopa,85138.0,Pinal,6.0,6144324351,,Michael Way,Neal Carter -- Speaker Pro Tempore,Jake Hoffman,,R,R,R,,Email: MWAY,Email: NCARTER,Email: JAKE.HOFFMAN,,Room 308,Room 204,Room 306,,(602) 926-3433,(602) 926-5761,(602) 926-3292,
TREE OF LIFE ARIZONA,9.0,BH4477,001cs00000WoGguAAF,,https://www.treeoflifeaz.org/,1659 East Draper,Mesa,85203.0,Maricopa,5.0,4802419963,,Lorena Austin,Seth Blattman,Eva Burch,Kiana Sears,D,D,D,D,Email: LAUSTIN,Email: SBLATTMAN,Resigned 03/14/25,Email: KSEARS,Room 124,Room 125,,Room 314,(602) 926-3968,(602) 926-3996,,(602) 926-3374
TREE OF LIFE ARIZONA,9.0,BH5668,001cs00000WoGgvAAF,,https://www.treeoflifeaz.org/,2935 East Dartmouth Street,Mesa,85213.0,Maricopa,10.0,4802846498,,Lorena Austin,Seth Blattman,Eva Burch,Kiana Sears,D,D,D,D,Email: LAUSTIN,Email: SBLATTMAN,Resigned 03/14/25,Email: KSEARS,Room 124,Room 125,,Room 314,(602) 926-3968,(602) 926-3996,,(602) 926-3374
YOUTH DEVELOPMENT INSTITUTE,1.0,BH1125,0018y000008fB0sAAE,Youth Development Institute,https://ydi.org/,1050-B North 19th Street,Phoenix,85006.0,Maricopa,16.0,6022565300,,Quang H Nguyen,Selina Bliss,Mark Finchem,,R,R,R,,Email: QNGUYEN,Email: SBLISS,Email: MFINCHEM,,Room 226,Room 306,Room 304,,(602) 926-3258,(602) 926-4018,(602) 926-3631,
YOUTH DEVELOPMENT INSTITUTE,8.0,BH3061,001cs00000WnyTQAAZ,Youth Development Institute,https://ydi.org/,1921 East Portland Street,Phoenix,85006.0,Maricopa,10.0,6022565300,,Janeen Connolly,Brian Garcia,Lauren Kuby,,D,D,D,,Email: JCONNOLLY,Email: BGARCIA,Email: LKUBY,,Room 118,Room 335,Room 311,,(602) 926-3300,(602) 926-3329,(602) 926-4124,
YOUTH DEVELOPMENT INSTITUTE,1.0,BH311,001cs00000WnyTRAAZ,Youth Development Institute,https://ydi.org/,1050-A North 19th Street,Phoenix,85006.0,Maricopa,16.0,6022565300,,Quang H Nguyen,Selina Bliss,Mark Finchem,,R,R,R,,Email: QNGUYEN,Email: SBLISS,Email: MFINCHEM,,Room 226,Room 306,Room 304,,(602) 926-3258,(602) 926-4018,(602) 926-3631,
YOUTH DEVELOPMENT INSTITUTE - PORTLAND HOUSE I I,8.0,BH3760,001cs00000WnyTSAAZ,Youth Development Institute,https://ydi.org/,1927 East Portland Street,Phoenix,85006.0,Maricopa,6.0,6022565300,,Janeen Connolly,Brian Garcia,Lauren Kuby,,D,D,D,,Email: JCONNOLLY,Email: BGARCIA,Email: LKUBY,,Room 118,Room 335,Room 311,,(602) 926-3300,(602) 926-3329,(602) 926-4124,
ZAREPHATH APACHE HOUSE,14.0,BH4725,001cs00000WnyTaAAJ,ZR Path,https://zrpath.com/,2060 East 37th Avenue,Apache Junction,85119.0,Pinal,10.0,4805186826,,Khyl Powell,Laurin Hendrix,Warren Petersen -- President,,R,R,R,,Email: KPOWELL,Email: LHENDRIX,Email: WPETERSEN,,Room 342,Room 114,Room 205,,(602) 926-3415,(602) 926-4209,(602) 926-4136,
ZAREPHATH CHAPARRAL HOUSE,14.0,BH4880,001cs00000WnyTbAAJ,ZR Path,https://zrpath.com/,3838 South Chaparral Road,Apache Junction,85119.0,Pinal,10.0,4805186826,,Khyl Powell,Laurin Hendrix,Warren Petersen -- President,,R,R,R,,Email: KPOWELL,Email: LHENDRIX,Email: WPETERSEN,,Room 342,Room 114,Room 205,,(602) 926-3415,(602) 926-4209,(602) 926-4136,
ZAREPHATH INC,20.0,BH3618,001cs00000WnyTeAAJ,ZR Path,https://zrpath.com/,2194 West Painted Sunset Circle,Tucson,85745.0,Pima,7.0,4805186826,,Betty J Villegas,Alma Hernandez,Sally Ann Gonzales,,D,D,D,,Email: BVILLEGAS,Email: AHERNANDEZ,Email: SGONZALES,,Room 324,Room 338,Room 314,,(602) 926-3027,(602) 926-3136,(602) 926-3278,
ZAREPHATH INC,10.0,BH3621,001cs00000WnyTgAAJ,ZR Path,https://zrpath.com/,7247 East Milagro Avenue,Mesa,85209.0,Maricopa,8.0,4805186826,,Justin Olson,Ralph Heap,David C. Farnsworth,,R,R,R,,Email: JOLSON,Email: RHEAP,Email: DFARNSWORTH,,Room 113,Room 309,Room 303,,(602) 926-3376,(602) 926-3381,(602) 926-3387,
ZAREPHATH INC,10.0,BH4096,001cs00000WnyThAAJ,ZR Path,https://zrpath.com/,9310 East Princess Drive,Mesa,85207.0,Maricopa,8.0,4805186826,,Justin Olson,Ralph Heap,David C. Farnsworth,,R,R,R,,Email: JOLSON,Email: RHEAP,Email: DFARNSWORTH,,Room 113,Room 309,Room 303,,(602) 926-3376,(602) 926-3381,(602) 926-3387,
ZAREPHATH INC,14.0,BH4097,001cs00000WnyTiAAJ,ZR Path,https://zrpath.com/,11358 East Sonrisa Avenue,Mesa,85212.0,Maricopa,8.0,4805186826,,Khyl Powell,Laurin Hendrix,Warren Petersen -- President,,R,R,R,,Email: KPOWELL,Email: LHENDRIX,Email: WPETERSEN,,Room 342,Room 114,Room 205,,(602) 926-3415,(602) 926-4209,(602) 926-4136,
ZAREPHATH INC,20.0,BH4117,001cs00000WnyTjAAJ,ZR Path,https://zrpath.com/,3035 West Montage Vista Drive,Tucson,85745.0,Pima,8.0,4805186826,,Betty J Villegas,Alma Hernandez,Sally Ann Gonzales,,D,D,D,,Email: BVILLEGAS,Email: AHERNANDEZ,Email: SGONZALES,,Room 324,Room 338,Room 314,,(602) 926-3027,(602) 926-3136,(602) 926-3278,
ZAREPHATH YUMA HOUSE,23.0,BH4848,001cs00000WnyTdAAJ,ZR Path,https://zrpath.com/,11680 East 36th Street,Yuma,85367.0,Yuma,8.0,4805186826,,Michele Peña,Mariana Sandoval,Brian Fernandez,,R,D,D,,Email: MPENA,Email: MSANDOVAL,Email: BFERNANDEZ,,Room 341,Room 326,Room 312,,(602) 926-3696,(602) 926-3740,(602) 926-3098,
"ZAREPHATH, INC",15.0,BH3620,001cs00000WnyTfAAJ,ZR Path,https://zrpath.com/,1701 South Cactus Road,Apache Junction,85119.0,Pinal,10.0,4805186826,,Michael Way,Neal Carter -- Speaker Pro Tempore,Jake Hoffman,,R,R,R,,Email: MWAY,Email: NCARTER,Email: JAKE.HOFFMAN,,Room 308,Room 204,Room 306,,(602) 926-3433,(602) 926-5761,(602) 926-3292,
